Make,Identification.Model Year,Horsepower,Torque
BMW,2012 BMW 7 Series,315,330
BMW,2012 BMW 5 Series Sedan,313.3333333,336.6666667
BMW,2012 BMW 3 Series Coup,333.5,306.75
BMW,2012 BMW 3 Series Convertible,344.6666667,309
BMW,2012 BMW 1 Series Coup,300,300
BMW,2012 BMW 1 Series Convertible,300,300
BMW,2011 BMW Z4 Roadster,270,246.6666667
BMW,2011 BMW X6,418.3333333,416.6666667
BMW,2011 BMW X5,353.3333333,379.1666667
BMW,2011 BMW X3,270,260.5
BMW,2011 BMW M3 Sedan,414,295
BMW,2011 BMW M3 Coup,414,295
BMW,2011 BMW M3 Convertible,414,295
BMW,2011 BMW ALPINA B7 Sedan,500,516
BMW,2011 BMW ActiveHybrid 7 Sedan,455,515
BMW,2011 BMW 7 Series,395,430
BMW,2011 BMW 5 Series Sedan,334.2857143,354.2857143
BMW,2011 BMW 5 Series Gran Turismo,350,375
BMW,2011 BMW 3 Series Sedan,293,325
BMW,2011 BMW 3 Series Coup,304,306.4
BMW,2011 BMW 3 Series Convertible,306.6666667,310.6666667
BMW,2011 BMW 1 Series Convertible,300,300
BMW,2010 BMW Z4 Roadster,277.5,260
BMW,2010 BMW X6,418.3333333,416.6666667
BMW,2010 BMW X5,357.5,375
BMW,2010 BMW X3,260,225
BMW,2010 BMW M6 Coup,500,383
BMW,2010 BMW M6 Convertible,500,383
BMW,2010 BMW M3 Sedan,414,295
BMW,2010 BMW M3 Coup,414,295
BMW,2010 BMW M3 Convertible,414,295
BMW,2010 BMW 7 Series,427,470
BMW,2010 BMW 6 Series Coup,360,360
BMW,2010 BMW 6 Series Convertible,360,360
BMW,2010 BMW 5 Series Sports Wagon,300,300
BMW,2010 BMW 5 Series Sedan,325.7142857,325.7142857
BMW,2010 BMW 5 Series Gran Turismo,366.6666667,400
BMW,2010 BMW 3 Series Sedan,293,325
BMW,2010 BMW 3 Series Coup,300,300
BMW,2010 BMW 3 Series Convertible,300,300
BMW,2010 BMW 1 Series Convertible,300,300
BMW,2009 BMW 7 Series,400,450